,start_lat,start_lon,end_lat,end_lon,count,start_coordinates,end_coordinates
0,50.80807,8.775351,50.805809,8.782821,75,"[8.775351, 50.80807]","[8.782821, 50.805809]"
1,50.805809,8.782821,50.80807,8.775351,65,"[8.782821, 50.805809]","[8.775351, 50.80807]"
2,50.80807,8.775351,50.810971,8.774241,53,"[8.775351, 50.80807]","[8.774241, 50.810971]"
3,50.798841,8.762144,50.80807,8.775351,65,"[8.762144, 50.798841]","[8.775351, 50.80807]"
4,50.804277,8.770072,50.80807,8.775351,70,"[8.770072, 50.804277]","[8.775351, 50.80807]"
5,50.803751,8.774697,50.80807,8.775351,93,"[8.774697, 50.803751]","[8.775351, 50.80807]"
6,50.819679,8.771403,50.80807,8.775351,79,"[8.771403, 50.819679]","[8.775351, 50.80807]"
7,50.80807,8.775351,50.804277,8.770072,55,"[8.775351, 50.80807]","[8.770072, 50.804277]"
8,50.804277,8.770072,50.813691,8.770734,80,"[8.770072, 50.804277]","[8.770734, 50.813691]"
9,50.80807,8.775351,50.813691,8.770734,257,"[8.775351, 50.80807]","[8.770734, 50.813691]"
10,50.822927,8.774681,50.813691,8.770734,97,"[8.774681, 50.822927]","[8.770734, 50.813691]"
11,50.80807,8.775351,50.816058,8.772242,94,"[8.775351, 50.80807]","[8.772242, 50.816058]"
12,50.803751,8.774697,50.813691,8.770734,84,"[8.774697, 50.803751]","[8.770734, 50.813691]"
13,50.801337,8.773266,50.80807,8.775351,60,"[8.773266, 50.801337]","[8.775351, 50.80807]"
14,50.813691,8.770734,50.80807,8.775351,209,"[8.770734, 50.813691]","[8.775351, 50.80807]"
15,50.80807,8.775351,50.803751,8.774697,70,"[8.775351, 50.80807]","[8.774697, 50.803751]"
16,50.807063,8.769918,50.813691,8.770734,122,"[8.769918, 50.807063]","[8.770734, 50.813691]"
17,50.807063,8.769918,50.80807,8.775351,60,"[8.769918, 50.807063]","[8.775351, 50.80807]"
18,50.80807,8.775351,50.818197,8.773286,51,"[8.775351, 50.80807]","[8.773286, 50.818197]"
19,50.816058,8.772242,50.80807,8.775351,81,"[8.772242, 50.816058]","[8.775351, 50.80807]"
20,50.813691,8.770734,50.804277,8.770072,71,"[8.770734, 50.813691]","[8.770072, 50.804277]"
21,50.798656,8.752965,50.807063,8.769918,58,"[8.752965, 50.798656]","[8.769918, 50.807063]"
22,50.813691,8.770734,50.803751,8.774697,86,"[8.770734, 50.813691]","[8.774697, 50.803751]"
